timestamp,x,y,z
-0.025,-0.06640625,-0.046875,0.962890625
-0.02,0.017578125,-0.140625,0.96875
-0.015,-0.03125,-0.11328125,0.951171875
-0.01,0.048828125,-0.083984375,0.970703125
-0.005,-0.099609375,-0.138671875,0.96875
0.0,0.02734375,-0.109375,0.98046875
0.00494,-0.06640625,-0.08203125,0.943359375
0.00988,0.009765625,-0.08203125,0.986328125
0.01483,-0.09765625,-0.119140625,0.96484375
0.01977,0.076171875,-0.060546875,0.9765625
0.02471,-0.0546875,-0.056640625,0.953125
0.02965,-0.017578125,-0.095703125,0.94921875
0.03466,0.04296875,-0.0859375,0.97265625
0.03966,-0.109375,-0.146484375,0.958984375
0.04466,0.025390625,-0.11328125,0.974609375
0.04966,-0.0703125,-0.0703125,0.953125
0.05466,0.01171875,-0.091796875,0.982421875
0.05967,-0.068359375,-0.109375,0.953125
0.06468,0.068359375,-0.072265625,0.97265625
0.06968,-0.060546875,-0.064453125,0.947265625
0.07469,0.041015625,-0.158203125,0.994140625
0.0797,-0.029296875,-0.07421875,0.9609375
0.08471,0.029296875,-0.107421875,0.98046875
0.08972,-0.11328125,-0.12890625,0.953125
0.09476,0.05078125,-0.091796875,0.994140625
0.0998,-0.08984375,-0.05859375,0.939453125
0.10484,0.005859375,-0.099609375,0.974609375
0.10988,-0.046875,-0.09375,0.970703125
0.11493,0.056640625,-0.060546875,0.9765625
0.11997,-0.05859375,-0.08984375,0.94921875
0.12498,0.064453125,-0.1484375,0.9765625
0.13,-0.07421875,-0.068359375,0.958984375
0.13501,0.056640625,-0.1171875,0.95703125
0.14003,-0.125,-0.109375,0.962890625
0.14504,0.052734375,-0.087890625,0.978515625
0.15005,-0.11328125,-0.05859375,0.947265625
0.15509,0.021484375,-0.09765625,0.982421875
0.16013,-0.05078125,-0.0859375,0.953125
0.16516,0.044921875,-0.05078125,0.974609375
0.1702,-0.083984375,-0.099609375,0.947265625
0.17524,0.1015625,-0.12109375,0.982421875
0.18027,-0.123046875,-0.060546875,0.953125
0.1853,0.07421875,-0.1171875,0.986328125
0.19033,-0.146484375,-0.095703125,0.953125
0.19535,0.068359375,-0.08984375,0.978515625
0.20038,-0.1171875,-0.05078125,0.9609375
0.20541,0.029296875,-0.109375,0.982421875
0.21043,-0.056640625,-0.068359375,0.95703125
0.21546,0.05078125,-0.041015625,0.986328125
0.22049,-0.095703125,-0.12109375,0.955078125
0.22552,0.103515625,-0.1015625,0.9765625
0.23055,-0.119140625,-0.068359375,0.951171875
0.23558,0.072265625,-0.130859375,0.986328125
0.24061,-0.140625,-0.10546875,0.978515625
0.24552,0.08203125,-0.064453125,0.96875
0.25042,-0.15234375,-0.05859375,0.962890625
0.25533,0.07421875,-0.11328125,0.984375
0.26024,-0.05078125,-0.060546875,0.96484375
0.26514,0.052734375,-0.05078125,0.974609375
0.27005,-0.083984375,-0.15625,0.96484375
0.27759,0.115234375,-0.080078125,0.990234375
0.28513,-0.125,-0.091796875,0.951171875
0.29267,0.076171875,-0.1328125,0.98828125
0.30021,-0.123046875,-0.099609375,0.962890625
0.30775,0.080078125,-0.068359375,0.95703125
0.31529,-0.166015625,-0.08203125,0.974609375
0.31786,0.10546875,-0.111328125,0.990234375
0.32042,-0.046875,-0.056640625,0.966796875
0.32299,0.037109375,-0.0703125,0.962890625
0.32556,-0.064453125,-0.169921875,0.978515625
0.32812,0.08984375,-0.072265625,0.978515625
0.33069,0.04296875,-0.134765625,0.978515625
0.33567,-0.099609375,-0.091796875,0.966796875
0.34066,0.06640625,-0.08203125,0.962890625
0.34564,-0.1640625,-0.087890625,0.94921875
0.35062,0.1171875,-0.103515625,0.9765625
0.35561,-0.056640625,-0.06640625,0.98828125
0.36059,0.017578125,-0.08984375,0.958984375
0.36571,-0.046875,-0.162109375,0.970703125
0.37083,0.072265625,-0.05859375,0.96875
0.37596,-0.087890625,-0.1328125,0.951171875
0.38108,0.01171875,-0.126953125,0.978515625
0.3862,-0.080078125,-0.095703125,0.951171875
0.39132,0.048828125,-0.083984375,0.98046875
0.39629,-0.138671875,-0.10546875,0.966796875
0.40126,0.115234375,-0.087890625,0.97265625
0.40623,-0.052734375,-0.0625,0.962890625
0.4112,-0.00390625,-0.109375,0.970703125
0.41617,-0.02734375,-0.138671875,0.95703125
0.42114,0.03125,-0.068359375,0.970703125
0.42614,-0.08984375,-0.134765625,0.970703125
0.43114,0.001953125,-0.111328125,0.978515625
0.43614,-0.060546875,-0.080078125,0.97265625
0.44114,0.021484375,-0.08203125,0.978515625
0.44614,-0.087890625,-0.099609375,0.970703125
0.45114,0.080078125,-0.0703125,0.970703125
0.4562,-0.0390625,-0.0703125,0.962890625
0.46125,0.005859375,-0.1171875,0.97265625
0.46631,-0.01953125,-0.10546875,0.9609375
0.47136,0.02734375,-0.080078125,0.96484375
0.47641,-0.078125,-0.142578125,0.951171875
0.48147,0.005859375,-0.103515625,0.978515625
0.48635,-0.0546875,-0.080078125,0.96875
0.49123,-0.00390625,-0.078125,0.962890625
0.49612,-0.052734375,-0.103515625,0.97265625
0.501,0.0546875,-0.05859375,0.947265625
0.50589,-0.04296875,-0.05859375,0.974609375
0.51077,0.009765625,-0.126953125,0.970703125
0.51834,-0.01953125,-0.09375,0.96484375
0.52591,0.01953125,-0.076171875,0.966796875
0.53348,-0.05859375,-0.126953125,0.98046875
0.54105,-0.00390625,-0.09375,0.966796875
0.54862,-0.056640625,-0.068359375,0.966796875
0.5562,-0.02734375,-0.076171875,0.96875
0.55868,-0.025390625,-0.087890625,0.984375
0.56117,0.029296875,-0.0390625,0.978515625
0.56365,-0.04296875,-0.072265625,0.95703125
0.56614,0.01953125,-0.134765625,0.96875
0.56863,-0.033203125,-0.0703125,0.958984375
0.57111,0.013671875,-0.08203125,0.955078125
0.57593,-0.068359375,-0.125,0.986328125
0.58076,0.00390625,-0.08984375,0.962890625
0.58558,-0.06640625,-0.0625,0.953125
0.5904,-0.03125,-0.08203125,0.966796875
0.59522,0.00390625,-0.099609375,0.982421875
0.60004,-0.001953125,-0.0390625,0.96484375
0.60507,0.056640625,-0.146484375,0.96875
0.61009,-0.05078125,-0.06640625,0.9609375
0.61512,0.01953125,-0.10546875,0.953125
0.62015,-0.078125,-0.12109375,0.974609375
0.62517,0.02734375,-0.080078125,0.9609375
0.6302,-0.083984375,-0.07421875,0.96875
0.63522,-0.0234375,-0.099609375,0.95703125
0.64024,0.017578125,-0.083984375,0.958984375
0.64526,0.00390625,-0.052734375,0.97265625
0.65028,-0.0625,-0.13671875,0.962890625
0.6553,0.076171875,-0.123046875,0.962890625
0.66033,-0.07421875,-0.0703125,0.97265625
0.66794,0.015625,-0.140625,0.970703125
0.67555,-0.0859375,-0.12109375,0.9765625
0.68317,0.048828125,-0.072265625,0.9609375
0.69078,-0.10546875,-0.083984375,0.966796875
0.6984,0.02734375,-0.115234375,0.9765625
0.70601,-0.013671875,-0.072265625,0.97265625
0.70852,0.009765625,-0.052734375,0.982421875
0.71103,-0.05078125,-0.15234375,0.978515625
0.71354,0.064453125,-0.103515625,0.955078125
0.71606,-0.044921875,-0.095703125,0.958984375
0.71857,-0.01171875,-0.140625,0.96484375
0.72108,-0.056640625,-0.109375,0.96484375
0.72594,0.029296875,-0.072265625,0.939453125
0.73079,-0.099609375,-0.09765625,0.982421875
0.73565,0.01953125,-0.109375,1.005859375
0.74051,0.001953125,-0.0703125,0.98046875
0.74536,-0.00390625,-0.052734375,0.9609375
0.75022,-0.033203125,-0.181640625,0.966796875
0.7552,0.0390625,-0.06640625,0.974609375
0.76018,-0.033203125,-0.10546875,0.966796875
0.76516,-0.033203125,-0.12890625,0.96875
0.77014,-0.037109375,-0.10546875,0.966796875
0.77512,0.015625,-0.05859375,0.962890625
0.78009,-0.083984375,-0.1015625,0.974609375
0.78512,0.037109375,-0.095703125,0.98046875
0.79014,0.001953125,-0.060546875,0.958984375
0.79516,-0.013671875,-0.07421875,0.955078125
0.80018,0.0,-0.15625,0.970703125
0.80521,0.015625,-0.052734375,0.955078125
0.81023,-0.01171875,-0.12109375,0.958984375
0.8177,-0.0703125,-0.10546875,0.966796875
0.82517,0.005859375,-0.087890625,0.982421875
0.83263,-0.02734375,-0.0546875,0.947265625
0.8401,-0.072265625,-0.107421875,0.978515625
0.84757,0.03125,-0.07421875,0.958984375
0.85504,0.009765625,-0.068359375,0.98046875
0.86018,-0.0390625,-0.103515625,0.95703125
0.86533,0.03125,-0.130859375,0.978515625
0.87047,-0.037109375,-0.048828125,0.958984375
0.87561,0.025390625,-0.1328125,0.966796875
0.88076,-0.103515625,-0.091796875,0.974609375
0.8859,0.009765625,-0.06640625,0.970703125
0.89085,-0.0625,-0.056640625,0.962890625
0.89581,0.001953125,-0.109375,0.974609375
0.90076,-0.0234375,-0.056640625,0.955078125
0.90571,0.041015625,-0.0625,0.974609375
0.91066,0.056640625,-0.107421875,0.966796875
0.91561,-0.07421875,-0.068359375,0.9609375
0.92069,0.025390625,-0.12890625,0.982421875
0.92577,-0.109375,-0.099609375,0.962890625
0.93085,0.03515625,-0.0625,0.978515625
0.93593,-0.095703125,-0.064453125,0.966796875
0.94101,0.037109375,-0.123046875,0.98828125
0.94609,-0.05078125,-0.04296875,0.962890625
0.95111,0.052734375,-0.056640625,0.97265625
0.95612,-0.0703125,-0.158203125,0.96484375
0.96114,0.076171875,-0.087890625,0.9765625
0.96616,-0.09765625,-0.083984375,0.94921875
0.97118,0.0546875,-0.130859375,0.994140625
0.97619,-0.091796875,-0.095703125,0.958984375
0.9812,0.044921875,-0.056640625,0.955078125
0.9862,-0.125,-0.08203125,0.9609375
0.99121,0.083984375,-0.1171875,0.974609375
0.99621,-0.06640625,-0.0546875,0.955078125
1.00121,0.05859375,-0.076171875,0.951171875
1.00622,-0.064453125,-0.154296875,0.95703125
1.01121,0.068359375,-0.080078125,0.978515625
1.0162,-0.095703125,-0.10546875,0.94921875
1.0212,0.033203125,-0.130859375,0.974609375
1.02619,-0.068359375,-0.095703125,0.974609375
1.03119,0.033203125,-0.07421875,0.97265625
1.03618,-0.12109375,-0.103515625,0.96875
1.04116,0.099609375,-0.09765625,0.9921875
1.04615,-0.072265625,-0.048828125,0.96875
1.05114,0.0390625,-0.115234375,0.966796875
1.05612,-0.03515625,-0.130859375,0.958984375
1.06111,0.056640625,-0.0703125,0.984375
1.06609,-0.099609375,-0.130859375,0.94140625
1.07106,0.0234375,-0.123046875,0.982421875
1.07602,-0.06640625,-0.072265625,0.953125
1.08099,0.03125,-0.0859375,0.984375
1.08595,-0.119140625,-0.10546875,0.96484375
1.09092,0.099609375,-0.087890625,0.962890625
1.09588,-0.060546875,-0.05078125,0.96484375
1.10067,0.021484375,-0.140625,0.970703125
1.10546,-0.025390625,-0.109375,0.958984375
1.11024,0.037109375,-0.0859375,0.98046875
1.11503,-0.095703125,-0.138671875,0.951171875
1.11982,0.01953125,-0.1171875,0.986328125
1.1246,-0.056640625,-0.078125,0.9453125
1.13224,0.00390625,-0.078125,0.9765625
1.13987,-0.0859375,-0.103515625,0.9765625
1.1475,0.080078125,-0.068359375,0.97265625
1.15514,-0.060546875,-0.06640625,0.96484375
1.16277,0.013671875,-0.138671875,0.986328125
1.1704,-0.017578125,-0.087890625,0.9765625
1.17305,0.041015625,-0.080078125,0.982421875
1.1757,-0.09765625,-0.140625,0.95703125
1.17835,0.015625,-0.09375,0.994140625
1.181,-0.068359375,-0.0625,0.955078125
1.18365,0.001953125,-0.0859375,0.98046875
1.1863,-0.072265625,-0.095703125,0.982421875
1.19121,0.0546875,-0.06640625,0.982421875
1.19613,-0.052734375,-0.0546875,0.958984375
1.20104,0.033203125,-0.14453125,0.982421875
1.20596,-0.02734375,-0.064453125,0.9453125
1.21087,0.033203125,-0.09765625,0.97265625
1.21579,0.025390625,-0.091796875,0.9765625
1.22076,-0.06640625,-0.052734375,0.94140625
1.22574,0.0,-0.091796875,0.986328125
1.23072,-0.04296875,-0.1015625,0.947265625
1.23569,0.052734375,-0.052734375,0.986328125
1.24067,-0.0625,-0.068359375,0.953125
1.24565,0.048828125,-0.142578125,0.98828125
1.25056,-0.05078125,-0.0625,0.958984375
1.25548,0.05859375,-0.107421875,0.9765625
1.2604,-0.123046875,-0.123046875,0.958984375
1.26531,0.044921875,-0.087890625,0.998046875
1.27023,-0.0859375,-0.060546875,0.96875
1.27515,0.0,-0.103515625,0.974609375
1.28513,-0.037109375,-0.076171875,0.958984375
1.29511,0.0546875,-0.0546875,0.982421875
1.3051,-0.07421875,-0.099609375,0.947265625
1.31508,0.07421875,-0.134765625,0.982421875
1.32506,-0.087890625,-0.068359375,0.9609375
1.33505,0.0625,-0.134765625,0.970703125
1.33519,-0.130859375,-0.12109375,0.951171875
1.33534,0.056640625,-0.09375,0.96484375
1.33549,-0.103515625,-0.068359375,0.95703125
1.33563,0.03515625,-0.1171875,0.978515625
1.33578,-0.046875,-0.08203125,0.953125
1.33593,0.060546875,-0.0625,0.96875
1.34579,-0.083984375,-0.138671875,0.95703125
1.35565,0.119140625,-0.125,0.978515625
1.36551,-0.126953125,-0.07421875,0.955078125
1.37536,0.08203125,-0.1328125,0.982421875
1.38522,-0.1484375,-0.11328125,0.96484375
1.39508,0.083984375,-0.080078125,0.98046875
1.39518,-0.12890625,-0.076171875,0.9609375
1.39528,0.068359375,-0.119140625,0.986328125
1.39537,-0.06640625,-0.072265625,0.96875
1.39547,0.078125,-0.052734375,0.96875
1.39556,-0.103515625,-0.1484375,0.955078125
1.39566,0.123046875,-0.107421875,0.984375
1.40572,-0.14453125,-0.0859375,0.94921875
1.41579,0.08203125,-0.138671875,0.98828125
1.42585,-0.1328125,-0.109375,0.958984375
1.43592,0.087890625,-0.076171875,0.958984375
1.44598,-0.162109375,-0.07421875,0.966796875
1.45605,0.1015625,-0.125,0.962890625
1.45618,-0.076171875,-0.06640625,0.97265625
1.45632,0.0625,-0.05859375,0.962890625
1.45646,-0.103515625,-0.16015625,0.966796875
1.4566,0.1171875,-0.07421875,0.98046875
1.45674,-0.142578125,-0.09375,0.947265625
1.45688,0.052734375,-0.12109375,0.98046875
1.46652,-0.10546875,-0.09765625,0.962890625
1.47616,0.080078125,-0.072265625,0.955078125
1.4858,-0.1640625,-0.08203125,0.97265625
1.49544,0.107421875,-0.10546875,0.98046875
1.50508,-0.068359375,-0.064453125,0.962890625
1.51472,0.048828125,-0.0703125,0.974609375
1.51487,-0.076171875,-0.16015625,0.95703125
1.51503,0.1015625,-0.064453125,0.970703125
1.51518,-0.1328125,-0.1171875,0.953125
1.51534,-0.091796875,-0.078125,0.9609375
1.51549,0.064453125,-0.0703125,0.974609375
1.51564,-0.169921875,-0.0859375,0.9765625
1.52564,0.123046875,-0.078125,0.96484375
1.53564,-0.068359375,-0.046875,0.96875
1.54564,0.0234375,-0.09375,0.962890625
1.55563,-0.048828125,-0.138671875,0.966796875
1.56563,0.06640625,-0.0625,0.966796875
1.57563,-0.095703125,-0.126953125,0.958984375
1.57571,0.015625,-0.111328125,0.984375
1.5758,-0.068359375,-0.0703125,0.958984375
1.57589,0.04296875,-0.076171875,0.974609375
1.57598,-0.12890625,-0.091796875,0.9765625
1.57607,0.103515625,-0.068359375,0.962890625
1.57616,-0.0625,-0.0546875,0.970703125
1.58614,0.017578125,-0.12109375,0.9765625
1.59613,-0.017578125,-0.109375,0.95703125
1.60611,0.04296875,-0.06640625,0.974609375
1.6161,-0.08203125,-0.130859375,0.96484375
1.62608,0.013671875,-0.10546875,0.9765625
1.63606,-0.064453125,-0.05859375,0.94921875
1.63618,0.01171875,-0.083984375,0.96875
1.63629,-0.07421875,-0.095703125,0.9609375
1.6364,0.0703125,-0.072265625,0.97265625
1.63652,-0.044921875,-0.05859375,0.966796875
1.63663,0.005859375,-0.126953125,0.982421875
1.63674,-0.009765625,-0.095703125,0.974609375
1.64657,0.03125,-0.087890625,0.96875
1.65639,-0.078125,-0.140625,0.966796875
1.66622,0.0,-0.103515625,0.966796875
1.67605,-0.060546875,-0.0703125,0.951171875
1.68587,0.001953125,-0.080078125,0.986328125
1.6957,-0.056640625,-0.10546875,0.966796875
1.69581,0.04296875,-0.05859375,0.978515625
1.69592,-0.05078125,-0.064453125,0.96875
1.69603,0.025390625,-0.15234375,0.970703125
1.69614,-0.03515625,-0.091796875,0.982421875
1.69624,0.02734375,-0.09375,0.962890625
1.69635,-0.080078125,-0.130859375,0.974609375
1.7161,0.01171875,-0.103515625,0.96875
1.73584,-0.068359375,-0.05859375,0.95703125
1.75558,-0.0078125,-0.0859375,0.974609375
1.77532,-0.025390625,-0.103515625,0.974609375
1.79507,0.02734375,-0.05859375,0.970703125
1.81481,-0.05859375,-0.068359375,0.95703125
1.81491,0.052734375,-0.158203125,0.96875
1.81501,-0.0625,-0.08203125,0.9765625
1.81512,0.0390625,-0.109375,0.9609375
1.81522,-0.091796875,-0.1328125,0.9765625
1.81532,0.03125,-0.09375,0.98828125
1.81543,-0.08203125,-0.060546875,0.96875
1.81553,0.0,-0.107421875,0.970703125
1.81563,-0.0078125,-0.091796875,0.9609375
1.81574,0.0234375,-0.052734375,0.966796875
1.81584,-0.052734375,-0.103515625,0.953125
1.81594,0.080078125,-0.13671875,0.98046875
1.81605,-0.080078125,-0.06640625,0.96484375
1.81629,-0.107421875,-0.119140625,0.974609375
1.81653,0.056640625,-0.078125,0.958984375
1.81677,-0.103515625,-0.06640625,0.970703125
1.81701,0.009765625,-0.123046875,0.98828125
1.81725,-0.01953125,-0.078125,0.966796875
1.8175,0.037109375,-0.044921875,0.9765625
1.8371,-0.064453125,-0.126953125,0.953125
1.85671,0.091796875,-0.107421875,0.96484375
1.87632,-0.087890625,-0.078125,0.97265625
1.89592,0.041015625,-0.123046875,0.974609375
1.91553,-0.109375,-0.11328125,0.982421875
1.93514,0.05078125,-0.078125,0.95703125
1.94529,-0.1171875,-0.076171875,0.96484375
1.95544,0.052734375,-0.1015625,0.97265625
1.9656,-0.03515625,-0.064453125,0.955078125
1.97575,0.025390625,-0.046875,0.953125
1.9859,-0.05859375,-0.158203125,0.98046875
1.99605,0.080078125,-0.078125,0.970703125
1.99618,-0.078125,-0.087890625,0.962890625
1.99631,0.015625,-0.138671875,0.96484375
1.99643,-0.091796875,-0.09765625,0.978515625
1.99656,0.048828125,-0.064453125,0.95703125
1.99669,-0.134765625,-0.091796875,0.96875
1.99681,0.072265625,-0.095703125,0.974609375
1.99692,-0.037109375,-0.064453125,0.96875
1.99704,0.015625,-0.064453125,0.953125
1.99715,-0.03515625,-0.16015625,0.978515625
1.99726,0.04296875,-0.068359375,0.98046875
1.99737,-0.052734375,-0.123046875,0.95703125
1.99748,-0.029296875,-0.12109375,0.966796875
1.99751,-0.037109375,-0.091796875,0.984375
1.99754,0.0234375,-0.0703125,0.953125
1.99756,-0.1171875,-0.09765625,0.9765625
1.99759,0.064453125,-0.08984375,0.96875
